リンク,漢字,仮名
http://www.wikidata.org/entity/Q8,幸福,こうふく
http://www.wikidata.org/entity/Q556,水素,すいそ
http://www.wikidata.org/entity/Q688,塩素,えんそ
http://www.wikidata.org/entity/Q880,白金,しろがね
http://www.wikidata.org/entity/Q943,黄色,きいろ
http://www.wikidata.org/entity/Q1057,代謝,たいしゃ
http://www.wikidata.org/entity/Q1693,北海,ほっかい
http://www.wikidata.org/entity/Q1860,英語,えいご
http://www.wikidata.org/entity/Q2294,陽子,ようこ
http://www.wikidata.org/entity/Q2979,自由,じゆう
http://www.wikidata.org/entity/Q4006,地図,ちず
http://www.wikidata.org/entity/Q4290,投資,とうし
http://www.wikidata.org/entity/Q6388,水泳,すいえい
http://www.wikidata.org/entity/Q7239,生物,せいぶつ
http://www.wikidata.org/entity/Q7365,筋肉,きんにく
http://www.wikidata.org/entity/Q7560,母親,ははおや
http://www.wikidata.org/entity/Q7707,水球,すいきゅう
http://www.wikidata.org/entity/Q7949,真理,しんり
http://www.wikidata.org/entity/Q8458,人権,じんけん
http://www.wikidata.org/entity/Q9174,宗教,しゅうきょう
http://www.wikidata.org/entity/Q9492,確率,かくりつ
http://www.wikidata.org/entity/Q11426,金属,きんぞく
http://www.wikidata.org/entity/Q11466,温度,おんど
http://www.wikidata.org/entity/Q11651,電流,でんりゅう
http://www.wikidata.org/entity/Q12861,火薬,かやく
http://www.wikidata.org/entity/Q12876,戦車,せんしゃ
http://www.wikidata.org/entity/Q13991,四国,しこく
http://www.wikidata.org/entity/Q16917,病院,びょういん
http://www.wikidata.org/entity/Q18000,成年,せいねん
http://www.wikidata.org/entity/Q23406,紅海,こうかい
http://www.wikidata.org/entity/Q23691,国歌,こっか
http://www.wikidata.org/entity/Q23856,独楽,こま
http://www.wikidata.org/entity/Q24723,童話,どうわ
http://www.wikidata.org/entity/Q25428,電圧,でんあつ
http://www.wikidata.org/entity/Q28428,百済,くだら
http://www.wikidata.org/entity/Q28511,夫余,ふよ
http://www.wikidata.org/entity/Q28823,織物,おりもの
http://www.wikidata.org/entity/Q36633,売春,ばいしゅん
http://www.wikidata.org/entity/Q37501,眼鏡,めがね
http://www.wikidata.org/entity/Q37707,俳句,はいく
http://www.wikidata.org/entity/Q37756,合金,ごうきん
http://www.wikidata.org/entity/Q42008,主権,しゅけん
http://www.wikidata.org/entity/Q43010,石英,せきえい
http://www.wikidata.org/entity/Q61509,旅行,りょこう
http://www.wikidata.org/entity/Q94734,宝島,たからしま
http://www.wikidata.org/entity/Q123524,至点,いたてん
http://www.wikidata.org/entity/Q124490,暴力,ぼうりょく
http://www.wikidata.org/entity/Q130983,小脳,しょうのう
http://www.wikidata.org/entity/Q133182,迷信,めいしん
http://www.wikidata.org/entity/Q134737,貴族,きぞく
http://www.wikidata.org/entity/Q139536,馬医,うまい
http://www.wikidata.org/entity/Q140686,会長,かいちょう
http://www.wikidata.org/entity/Q143873,歯車,はぐるま
http://www.wikidata.org/entity/Q153721,京都,きょうと
http://www.wikidata.org/entity/Q156223,年金,ねんきん
http://www.wikidata.org/entity/Q157148,少将,しょうしょう
http://www.wikidata.org/entity/Q158646,主義,しゅぎ
http://www.wikidata.org/entity/Q160381,西洋,せいよう
http://www.wikidata.org/entity/Q161936,死神,しにがみ
http://www.wikidata.org/entity/Q162919,印章,いんしょう
http://www.wikidata.org/entity/Q168182,正午,しょうご
http://www.wikidata.org/entity/Q170404,査証,さしょう
http://www.wikidata.org/entity/Q171558,事故,じこ
http://www.wikidata.org/entity/Q178354,理性,りせい
http://www.wikidata.org/entity/Q180538,漁業,ぎょぎょう
http://www.wikidata.org/entity/Q181937,易経,えききょう
http://www.wikidata.org/entity/Q182263,共感,きょうかん
http://www.wikidata.org/entity/Q184395,海水,かいすい
http://www.wikidata.org/entity/Q185118,宝島,たからしま
http://www.wikidata.org/entity/Q185598,日記,にっき
http://www.wikidata.org/entity/Q185884,鉄男,てつお
http://www.wikidata.org/entity/Q188497,軍団,ぐんだん
http://www.wikidata.org/entity/Q189004,大学,だいがく
http://www.wikidata.org/entity/Q189533,学位,がくい
http://www.wikidata.org/entity/Q197183,張飛,ちょうひ
http://www.wikidata.org/entity/Q205892,日付,ひづけ
http://www.wikidata.org/entity/Q207894,純潔,じゅんけつ
http://www.wikidata.org/entity/Q207932,冬至,とうじ
http://www.wikidata.org/entity/Q214796,等号,とうごう
http://www.wikidata.org/entity/Q215536,商人,しょうにん
http://www.wikidata.org/entity/Q218198,聖水,せいすい
http://www.wikidata.org/entity/Q219803,合板,ごうはん
http://www.wikidata.org/entity/Q231700,集合,しゅうごう
http://www.wikidata.org/entity/Q233731,時間,じかん
http://www.wikidata.org/entity/Q243170,文楽,ぶんらく
http://www.wikidata.org/entity/Q253623,特許,とっきょ
http://www.wikidata.org/entity/Q285076,朝敵,ちょうてき
http://www.wikidata.org/entity/Q293764,東風,ひがしかぜ
http://www.wikidata.org/entity/Q300561,四季,しき
http://www.wikidata.org/entity/Q311367,国歌,こっか
http://www.wikidata.org/entity/Q331114,国民,こくみん
http://www.wikidata.org/entity/Q335101,京劇,きょうげき
http://www.wikidata.org/entity/Q335140,河童,かっぱ
http://www.wikidata.org/entity/Q371946,将軍,しょうぐん
http://www.wikidata.org/entity/Q372948,色相,しきそう
http://www.wikidata.org/entity/Q417175,王国,おうこく
http://www.wikidata.org/entity/Q419807,北海,ほっかい
http://www.wikidata.org/entity/Q422679,太陽,たいよう
http://www.wikidata.org/entity/Q424857,大字,おおあざ
http://www.wikidata.org/entity/Q434429,列子,れっし
http://www.wikidata.org/entity/Q452027,幕下,まくした
http://www.wikidata.org/entity/Q452581,君主,くんしゅ
http://www.wikidata.org/entity/Q464859,色気,いろけ
http://www.wikidata.org/entity/Q465327,責任,せきにん
http://www.wikidata.org/entity/Q471993,死神,しにがみ
http://www.wikidata.org/entity/Q472898,乳母,うば
http://www.wikidata.org/entity/Q476112,身長,しんちょう
http://www.wikidata.org/entity/Q551067,北周,ほくしゅう
http://www.wikidata.org/entity/Q574827,反米,はんべい
http://www.wikidata.org/entity/Q598221,山城,やましろ
http://www.wikidata.org/entity/Q607112,三体,さんたい
http://www.wikidata.org/entity/Q610038,銀貨,ぎんか
http://www.wikidata.org/entity/Q625369,愛人,あいじん
