リンク,漢字,仮名
http://www.wikidata.org/entity/Q8,幸福,こうふく
http://www.wikidata.org/entity/Q556,水素,すいそ
http://www.wikidata.org/entity/Q676,散文,さんぶん
http://www.wikidata.org/entity/Q688,塩素,えんそ
http://www.wikidata.org/entity/Q880,白金,しろがね
http://www.wikidata.org/entity/Q943,黄色,きいろ
http://www.wikidata.org/entity/Q1057,代謝,たいしゃ
http://www.wikidata.org/entity/Q1693,北海,ほっかい
http://www.wikidata.org/entity/Q1860,英語,えいご
http://www.wikidata.org/entity/Q2979,自由,じゆう
http://www.wikidata.org/entity/Q4006,地図,ちず
http://www.wikidata.org/entity/Q4290,投資,とうし
http://www.wikidata.org/entity/Q6388,水泳,すいえい
http://www.wikidata.org/entity/Q7239,生物,せいぶつ
http://www.wikidata.org/entity/Q7365,筋肉,きんにく
http://www.wikidata.org/entity/Q7560,母親,ははおや
http://www.wikidata.org/entity/Q7707,水球,すいきゅう
http://www.wikidata.org/entity/Q8458,人権,じんけん
http://www.wikidata.org/entity/Q9174,宗教,しゅうきょう
http://www.wikidata.org/entity/Q9492,確率,かくりつ
http://www.wikidata.org/entity/Q11426,金属,きんぞく
http://www.wikidata.org/entity/Q11466,温度,おんど
http://www.wikidata.org/entity/Q11651,電流,でんりゅう
http://www.wikidata.org/entity/Q12134,天球,てんきゅう
http://www.wikidata.org/entity/Q12861,火薬,かやく
http://www.wikidata.org/entity/Q12876,戦車,せんしゃ
http://www.wikidata.org/entity/Q13991,四国,しこく
http://www.wikidata.org/entity/Q16917,病院,びょういん
http://www.wikidata.org/entity/Q18000,成年,せいねん
http://www.wikidata.org/entity/Q23406,紅海,こうかい
http://www.wikidata.org/entity/Q23691,国歌,こっか
http://www.wikidata.org/entity/Q23856,独楽,こま
http://www.wikidata.org/entity/Q24723,童話,どうわ
http://www.wikidata.org/entity/Q25428,電圧,でんあつ
http://www.wikidata.org/entity/Q28428,百済,くだら
http://www.wikidata.org/entity/Q28511,夫余,ふよ
http://www.wikidata.org/entity/Q28823,織物,おりもの
http://www.wikidata.org/entity/Q35758,物質,ぶっしつ
http://www.wikidata.org/entity/Q36633,売春,ばいしゅん
http://www.wikidata.org/entity/Q37501,眼鏡,めがね
http://www.wikidata.org/entity/Q37707,俳句,はいく
http://www.wikidata.org/entity/Q37756,合金,ごうきん
http://www.wikidata.org/entity/Q40763,種子,しゅし
http://www.wikidata.org/entity/Q42008,主権,しゅけん
http://www.wikidata.org/entity/Q42621,雑種,ざっしゅ
http://www.wikidata.org/entity/Q43010,石英,せきえい
http://www.wikidata.org/entity/Q61509,旅行,りょこう
http://www.wikidata.org/entity/Q65943,定理,ていり
http://www.wikidata.org/entity/Q75322,犬島,いぬじま
http://www.wikidata.org/entity/Q83500,知能,ちのう
http://www.wikidata.org/entity/Q94734,宝島,たからじま
http://www.wikidata.org/entity/Q118999,京商,きょうしょう
http://www.wikidata.org/entity/Q124490,暴力,ぼうりょく
http://www.wikidata.org/entity/Q130983,小脳,しょうのう
http://www.wikidata.org/entity/Q133182,迷信,めいしん
http://www.wikidata.org/entity/Q133516,単糖,たんとう
http://www.wikidata.org/entity/Q134737,貴族,きぞく
http://www.wikidata.org/entity/Q139536,馬医,ばい
http://www.wikidata.org/entity/Q140686,会長,かいちょう
http://www.wikidata.org/entity/Q143873,歯車,はぐるま
http://www.wikidata.org/entity/Q153721,京都,きょうと
http://www.wikidata.org/entity/Q154549,大工,だいく
http://www.wikidata.org/entity/Q155930,海運,かいうん
http://www.wikidata.org/entity/Q156223,年金,ねんきん
http://www.wikidata.org/entity/Q157148,少将,しょうしょう
http://www.wikidata.org/entity/Q158646,主義,しゅぎ
http://www.wikidata.org/entity/Q160381,西洋,せいよう
http://www.wikidata.org/entity/Q161936,死神,しにがみ
http://www.wikidata.org/entity/Q162919,印章,いんしょう
http://www.wikidata.org/entity/Q168403,近視,きんし
http://www.wikidata.org/entity/Q170404,査証,さしょう
http://www.wikidata.org/entity/Q171558,事故,じこ
http://www.wikidata.org/entity/Q173253,感覚,かんかく
http://www.wikidata.org/entity/Q178354,理性,りせい
http://www.wikidata.org/entity/Q180538,漁業,ぎょぎょう
http://www.wikidata.org/entity/Q181937,易経,えききょう
http://www.wikidata.org/entity/Q182263,共感,きょうかん
http://www.wikidata.org/entity/Q182687,手相,てそう
http://www.wikidata.org/entity/Q184395,海水,かいすい
http://www.wikidata.org/entity/Q184511,熟語,じゅくご
http://www.wikidata.org/entity/Q185598,日記,にっき
http://www.wikidata.org/entity/Q186517,寄生,きせい
http://www.wikidata.org/entity/Q188248,定数,ていすう
http://www.wikidata.org/entity/Q188497,軍団,ぐんだん
http://www.wikidata.org/entity/Q189004,大学,だいがく
http://www.wikidata.org/entity/Q189533,学位,がくい
http://www.wikidata.org/entity/Q193372,寒帯,かんたい
http://www.wikidata.org/entity/Q205892,日付,ひづけ
http://www.wikidata.org/entity/Q207894,純潔,じゅんけつ
http://www.wikidata.org/entity/Q207932,冬至,とうじ
http://www.wikidata.org/entity/Q214796,等号,とうごう
http://www.wikidata.org/entity/Q215536,商人,しょうにん
http://www.wikidata.org/entity/Q218198,聖水,せいすい
http://www.wikidata.org/entity/Q219803,合板,ごうはん
http://www.wikidata.org/entity/Q223694,戦象,せんぞう
http://www.wikidata.org/entity/Q231700,集合,しゅうごう
http://www.wikidata.org/entity/Q233731,時間,じかん
http://www.wikidata.org/entity/Q243170,文楽,ぶんらく
http://www.wikidata.org/entity/Q253623,特許,とっきょ
http://www.wikidata.org/entity/Q258003,暴動,ぼうどう
http://www.wikidata.org/entity/Q285076,朝敵,ちょうてき
http://www.wikidata.org/entity/Q293764,東風,こち
http://www.wikidata.org/entity/Q300561,四季,しき
http://www.wikidata.org/entity/Q331114,国民,こくみん
http://www.wikidata.org/entity/Q335101,京劇,きょうげき
http://www.wikidata.org/entity/Q335140,河童,かっぱ
http://www.wikidata.org/entity/Q371946,将軍,しょうぐん
http://www.wikidata.org/entity/Q372948,色相,しきそう
http://www.wikidata.org/entity/Q417175,王国,おうこく
http://www.wikidata.org/entity/Q422679,太陽,たいよう
http://www.wikidata.org/entity/Q424857,大字,おおあざ
http://www.wikidata.org/entity/Q452027,幕下,まくした
http://www.wikidata.org/entity/Q452581,君主,くんしゅ
